Pokemon,Number,Color,Habitat,Generation,Egg Group,Description
Metapod,11,green,forest,generation-i,no-eggs,the shell covering this pokémon’s body is as hard as an iron slab. metapod does not move very much. it stays still because it is preparing its soft innards for evolution inside the hard shell.
Metapod,11,green,forest,generation-i,no-eggs,its shell is filled with its soft innards. it doesn’t move much because of the risk it might carelessly spill its innards out.
Metapod,11,green,forest,generation-i,no-eggs,"its shell is hard, but it’s still just a bug shell. it’s been known to break, so intense battles with it should be avoided."
Metapod,11,green,forest,generation-i,no-eggs,its shell is filled with a thick liquid. all of the cells throughout its body are being rebuilt in preparation for evolution.
Metapod,11,green,forest,generation-i,no-eggs,"its hard shell doesn’t crack a bit even if pikipek pecks at it, but it will tip over, spilling out its insides."
Metapod,11,green,forest,generation-i,no-eggs,"hardens its shell to protect itself. however, a large impact may cause it to pop out of its shell."
Metapod,11,green,forest,generation-i,no-eggs,"it is waiting for the moment to evolve. at this stage, it can only harden, so it remains motionless to avoid attack."
Butterfree,12,white,forest,generation-i,no-eggs,"in battle, it flaps its wings at high speed torelease highly toxic dust into the air."
Butterfree,12,white,forest,generation-i,no-eggs,"its wings, covered with poisonous powders, repelwater. this allows it to fly in the rain."
Butterfree,12,white,forest,generation-i,no-eggs,it collects honey every day. it rubs honey onto thehairs on its legs to carry it back to its nest.
Butterfree,12,white,forest,generation-i,no-eggs,"water-repellent powder on its wings enables itto collect honey, even in the heav­ iest of rains."
Butterfree,12,white,forest,generation-i,no-eggs,"it flits from flower to flower, collecting honey.it can even identify distant flowers in bloom."
Butterfree,12,white,forest,generation-i,no-eggs,"butterfree has a superior ability to search for delicious honey from flowers.it can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest."
Butterfree,12,white,forest,generation-i,no-eggs,"it has a superior ability to search for delicious honey from flowers. it can seek, extract, and carry honey from flowers blooming over six miles away."
Butterfree,12,white,forest,generation-i,no-eggs,"the wings are protected by rain-repellent dust. as a result, this pokémon can fly about even in rain."
Butterfree,12,white,forest,generation-i,no-eggs,"in battle, it flaps its wings at great speed to release highly toxic dust into the air."
Butterfree,12,white,forest,generation-i,no-eggs,it loves the honey of flowers and can locate flower patches that have even tiny amounts of pollen.
Butterfree,12,white,forest,generation-i,no-eggs,it collects honey every day. it rubs honey onto the hairs on its legs to carry it back to its nest.
Butterfree,12,white,forest,generation-i,no-eggs,"water-repellent powder on its wings enables it to collect honey, even in the heaviest of rains."
Butterfree,12,white,forest,generation-i,no-eggs,"butterfree has a superior ability to search for delicious honey from flowers. it can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest."
Butterfree,12,white,forest,generation-i,no-eggs,close examination of its large eyes reveals that each eye is composed of a myriad of tiny eyes.
Butterfree,12,white,forest,generation-i,no-eggs,"when attacked by other pokémon, it defends itself by scattering its poisonous scales and fluttering its wings."
Butterfree,12,white,forest,generation-i,no-eggs,"its wings are covered in toxic scales. if it finds bird pokémon going after caterpie, butterfree sprinkles its scales on them to drive them off."
Butterfree,12,white,forest,generation-i,no-eggs,"nectar from pretty flowers is its favorite food. in fields of flowers, it has heated battles with cutiefly for territory."
Butterfree,12,white,forest,generation-i,no-eggs,"its wings, covered with poisonous powder, repel water. this allows it to fly in the rain."
Weedle,13,brown,forest,generation-i,no-eggs,"often found in forests, eating leaves.it has a sharp venomous stinger on its head."
Weedle,13,brown,forest,generation-i,no-eggs,beware of the sharp stinger on its head. ithides in grass and bushes where it eats leaves.
Weedle,13,brown,forest,generation-i,no-eggs,its poison stinger is very powerful. its bright-coloredbody is intended to warn off its enemies.
Weedle,13,brown,forest,generation-i,no-eggs,it attacks using a two-inch poison barb on its head.it can usually be found under the leaves it eats.
Weedle,13,brown,forest,generation-i,no-eggs,the barb on top of its head secretes a strong poison.it uses this toxic barb to protect itself.
Weedle,13,brown,forest,generation-i,no-eggs,weedle has an extremely acute sense of smell. it is capable of distinguishing itsfavorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).
Weedle,13,brown,forest,generation-i,no-eggs,a weedle has an extremely acute sense of smell. it distinguishes its favorite kinds of leaves from those it dislikes by sniffing with its big red proboscis (nose).
Weedle,13,brown,forest,generation-i,no-eggs,"often found in forests and grasslands. it has a sharp, toxic barb of around two inches on top of its head."
Weedle,13,brown,forest,generation-i,no-eggs,"often found in forests, eating leaves. it has a sharp stinger on its head that injects poison."
Weedle,13,brown,forest,generation-i,no-eggs,it eats its weight in leaves every day. it fends off attackers with the needle on its head.
Weedle,13,brown,forest,generation-i,no-eggs,its poison stinger is very powerful. its bright-colored body is intended to warn off its enemies.
Weedle,13,brown,forest,generation-i,no-eggs,it attacks using a two-inch poison barb on its head. it can usually be found under the leaves it eats.
Weedle,13,brown,forest,generation-i,no-eggs,weedle has an extremely acute sense of smell. it is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).
Weedle,13,brown,forest,generation-i,no-eggs,beware of the sharp stinger on its head. it hides in grass and bushes where it eats leaves.
Kakuna,14,yellow,forest,generation-i,no-eggs,"almost incapable of moving, this pokémon can onlyharden its shell to protect itself from predators."
Kakuna,14,yellow,forest,generation-i,no-eggs,"able to move only slightly. when endangered, itmay stick out its stinger and poison its enemy."
Kakuna,14,yellow,forest,generation-i,no-eggs,"although it is a cocoon, it can move a little. itcan extend its poison barb if it is attacked."
Kakuna,14,yellow,forest,generation-i,no-eggs,"from this form, it will grow into an adult. as itsbody becomes soft­ er, the external shell hardens."
Kakuna,14,yellow,forest,generation-i,no-eggs,"nearly incapable of movement, it leans againststout trees while waiting for its evolution."
Kakuna,14,yellow,forest,generation-i,no-eggs,"kakuna remains virtually immobile as it clings to a tree. however, on the inside, it is extremely busy as itprepares for its coming evolution. this is evident from how hot the shell becomes to the touch."
Kakuna,14,yellow,forest,generation-i,no-eggs,"it remains virtually immobile while it clings to a tree. however, on the inside, it busily prepares for evolution. this is evident from how hot its shell becomes."
Kakuna,14,yellow,forest,generation-i,no-eggs,this pokémon is in a temporary stage while making its body. it is almost completely unable to move on its own.
Kakuna,14,yellow,forest,generation-i,no-eggs,"almost incapable of moving, this pokémon can only harden its shell to protect itself when it is in danger."
Kakuna,14,yellow,forest,generation-i,no-eggs,"while awaiting evolution, it hides from predators under leaves and in nooks of branches."
